timestamp,open,high,low,close,volume
2025-01-05,1.432,1.497,1.411,1.421,955775.49
2025-01-06,1.421,1.466,1.401,1.459,540899.68
2025-01-07,1.46,1.535,1.314,1.314,2475857.32
2025-01-08,1.314,1.329,1.231,1.281,1055847.78
2025-01-09,1.28,1.336,1.258,1.335,1321983.08
2025-01-10,1.334,1.422,1.263,1.3,2017890.43
2025-01-11,1.3,1.322,1.256,1.281,656794.51
2025-01-12,1.281,1.316,1.263,1.292,903939.85
2025-01-13,1.292,1.313,1.165,1.236,1267536.56
2025-01-14,1.236,1.281,1.228,1.276,470806.32
2025-01-15,1.278,1.32,1.247,1.316,614219.36
2025-01-16,1.316,1.328,1.277,1.314,563587.68
2025-01-17,1.314,1.378,1.313,1.363,879323.52
2025-01-18,1.36,1.365,1.258,1.278,655601.52
2025-01-19,1.279,1.288,1.129,1.145,1490663.04
2025-01-20,1.146,1.228,1.111,1.161,1320760.98
2025-01-21,1.16,1.214,1.119,1.182,565599.24
2025-01-22,1.181,1.219,1.167,1.181,455061.75
2025-01-23,1.179,1.213,1.149,1.209,1013087.9
2025-01-24,1.208,1.213,1.139,1.154,881436.67
2025-01-25,1.154,1.182,1.137,1.157,387046.51
2025-01-26,1.157,1.194,1.138,1.141,545497.49
2025-01-27,1.14,1.148,1.063,1.135,1059758.88
2025-01-28,1.135,1.197,1.079,1.084,2136746.21
2025-01-29,1.083,1.148,1.075,1.112,1065931.65
2025-01-30,1.112,1.169,1.102,1.146,560734.91
2025-01-31,1.145,1.198,1.134,1.159,950854.12
2025-02-01,1.16,1.18,1.072,1.08,978614.69
2025-02-02,1.08,1.102,0.945,0.988,1553382.42
2025-02-03,0.987,0.996,0.79,0.985,2642268.74
2025-02-04,0.985,1.025,0.907,0.972,2067525.34
2025-02-05,0.972,1.076,0.959,0.996,2957261.16
2025-02-06,0.997,1.041,0.96,0.968,1726020.3
2025-02-07,0.967,1.024,0.954,0.988,1341005.58
2025-02-08,0.988,1.039,0.978,1.021,873339.39
2025-02-09,1.022,1.057,0.988,1.033,835940.09
2025-02-10,1.034,1.072,0.983,1.06,1209803.22
2025-02-11,1.059,1.09,1.01,1.035,851989.12
