timestamp,open,high,low,close,volume
2025-01-05,1.795,1.799,1.736,1.775,969416.42
2025-01-06,1.776,1.844,1.74,1.788,1037649.18
2025-01-07,1.787,1.793,1.556,1.556,2331873.45
2025-01-08,1.556,1.573,1.425,1.497,1773967.32
2025-01-09,1.497,1.527,1.418,1.476,1465898.4
2025-01-10,1.477,1.524,1.45,1.497,1281338.94
2025-01-11,1.498,1.507,1.442,1.477,880644.06
2025-01-12,1.477,1.487,1.434,1.455,612120.98
2025-01-13,1.456,1.493,1.306,1.387,1822673.71
2025-01-14,1.387,1.447,1.373,1.44,1017072.32
2025-01-15,1.441,1.544,1.408,1.539,1587717.61
2025-01-16,1.539,1.545,1.459,1.502,1651288.85
2025-01-17,1.501,1.632,1.5,1.612,1583130.18
2025-01-18,1.614,1.625,1.442,1.48,2747763.02
2025-01-19,1.48,1.518,1.321,1.344,3716067.79
2025-01-20,1.343,1.447,1.263,1.327,3041625.0
2025-01-21,1.326,1.406,1.273,1.377,1346904.52
2025-01-22,1.377,1.402,1.335,1.344,1548951.09
2025-01-23,1.344,1.369,1.296,1.341,941966.08
2025-01-24,1.341,1.371,1.283,1.293,809861.81
2025-01-25,1.292,1.316,1.264,1.295,796366.18
2025-01-26,1.295,1.342,1.252,1.253,1720776.61
2025-01-27,1.253,1.259,1.125,1.22,2090777.28
2025-01-28,1.22,1.23,1.13,1.142,1016515.97
2025-01-29,1.14,1.227,1.131,1.187,1443955.38
2025-01-30,1.186,1.259,1.174,1.241,1113044.42
2025-01-31,1.242,1.276,1.214,1.23,1081805.88
2025-02-01,1.229,1.242,1.121,1.129,1050383.38
2025-02-02,1.128,1.159,0.9,0.962,3541686.22
2025-02-03,0.963,0.963,0.679,0.941,8250284.8
2025-02-04,0.941,0.951,0.832,0.877,2844331.79
2025-02-05,0.877,0.902,0.848,0.864,1880709.17
2025-02-06,0.863,0.887,0.808,0.818,1747457.37
2025-02-07,0.818,0.88,0.789,0.823,1751784.75
2025-02-08,0.823,0.869,0.806,0.858,2119052.7
2025-02-09,0.858,0.899,0.815,0.853,1803763.66
2025-02-10,0.852,0.892,0.817,0.884,1767656.18
2025-02-11,0.884,0.932,0.854,0.876,1845228.03
2025-02-12,0.875,0.927,0.836,0.92,2524949.91
2025-02-13,0.92,0.938,0.873,0.908,2078135.21
