timestamp,open,high,low,close,volume
2025-01-05,84.8,85.34,81.34,85.08,26889.456
2025-01-06,85.12,87.76,83.68,85.23,42251.245
2025-01-07,85.2,85.2,75.27,75.39,48864.121
2025-01-08,75.38,76.4,67.46,72.54,64235.154
2025-01-09,72.53,74.04,69.03,71.48,44875.205
2025-01-10,71.55,77.83,71.22,77.08,97099.769
2025-01-11,77.08,81.95,76.27,79.68,71711.121
2025-01-12,79.7,80.4,77.16,77.16,32514.862
2025-01-13,77.16,79.44,69.19,72.93,57277.223
2025-01-14,72.91,76.86,72.38,76.39,28178.47
2025-01-15,76.64,84.7,75.6,83.35,69028.841
2025-01-16,83.32,83.98,79.87,80.28,52472.317
2025-01-17,80.37,92.48,80.37,89.6,141547.741
2025-01-18,89.63,90.23,81.79,84.16,60102.282
2025-01-19,84.05,88.01,78.0,80.13,89979.634
2025-01-20,80.11,88.11,78.02,82.02,150601.227
2025-01-21,82.01,83.38,77.32,80.0,68572.484
2025-01-22,80.0,80.58,75.75,76.17,44645.249
2025-01-23,76.13,79.2,74.69,77.47,50869.909
2025-01-24,77.39,79.53,74.63,76.07,125045.955
2025-01-25,76.04,76.26,73.08,74.87,60245.661
2025-01-26,74.86,77.88,72.45,72.47,25296.117
2025-01-27,72.47,72.92,65.14,70.8,73579.415
2025-01-28,70.66,71.69,66.36,67.49,67911.196
2025-01-29,67.36,71.65,66.96,68.8,36503.613
2025-01-30,68.83,72.27,68.02,70.44,49555.084
2025-01-31,70.46,73.2,68.95,69.78,40151.196
2025-02-01,69.83,70.52,63.48,64.16,50030.364
2025-02-02,64.08,65.58,52.34,55.73,101964.102
2025-02-03,55.76,58.69,42.0,57.37,227737.876
2025-02-04,57.35,57.7,50.76,53.29,62425.265
2025-02-05,53.27,53.6,49.18,49.89,101892.938
2025-02-06,49.91,51.78,47.79,48.55,36998.079
2025-02-07,48.55,52.38,47.97,51.18,62139.506
2025-02-08,51.18,51.6,49.79,50.77,31259.369
2025-02-09,50.77,52.7,48.59,51.12,37793.093
2025-02-10,51.16,54.82,49.13,54.59,47932.929
2025-02-11,54.56,60.07,54.48,56.01,91863.731
2025-02-12,55.97,59.79,54.31,58.26,45722.55
2025-02-13,58.26,58.74,55.14,56.08,47337.804
2025-02-14,56.11,61.52,55.97,58.45,39262.857
2025-02-15,58.45,58.53,56.35,56.48,17609.6
2025-02-16,56.5,57.46,54.89,55.01,21702.174
2025-02-17,54.99,57.59,53.64,55.76,34340.44
2025-02-18,55.77,55.96,51.6,52.98,27319.394
2025-02-19,52.98,55.41,52.21,54.87,25619.209
2025-02-20,54.85,56.1,53.34,55.24,27471.186
2025-02-21,55.25,57.85,51.73,52.9,40559.916
2025-02-22,52.95,57.36,52.67,56.29,18405.049
2025-02-23,56.25,56.83,54.01,55.31,39792.477
2025-02-24,55.35,55.45,49.06,50.51,48512.883
2025-02-25,50.51,51.87,48.1,51.31,57979.026
2025-02-26,51.33,52.91,48.94,50.81,49507.729
2025-02-27,50.87,53.16,50.26,52.09,31596.001
