timestamp,open,high,low,close,volume
2025-01-05,38.06,38.42,36.79,37.54,145850.45
2025-01-06,37.54,39.29,36.82,38.36,197556.54
2025-01-07,38.34,38.49,34.17,34.18,282311.54
2025-01-08,34.19,34.54,31.25,33.1,312799.1
2025-01-09,33.09,33.78,31.97,32.91,243092.99
2025-01-10,32.9,33.74,32.27,33.21,206536.48
2025-01-11,33.22,34.2,32.62,33.77,111526.96
2025-01-12,33.78,34.24,32.34,32.86,120860.68
2025-01-13,32.87,33.86,29.54,31.73,337341.86
2025-01-14,31.74,32.77,31.54,32.62,129959.42
2025-01-15,32.64,35.47,31.78,35.39,297483.81
2025-01-16,35.4,36.97,34.44,35.96,357809.68
2025-01-17,35.99,37.83,35.99,37.4,247486.3
2025-01-18,37.42,37.86,34.65,35.57,283355.66
2025-01-19,35.56,36.32,31.33,32.08,558425.14
2025-01-20,32.07,34.59,30.48,31.57,561150.41
2025-01-21,31.58,33.13,30.19,32.26,305835.55
2025-01-22,32.23,32.55,30.87,31.02,135465.81
2025-01-23,31.02,31.61,30.01,30.87,197901.03
2025-01-24,30.87,31.6,29.73,29.95,169348.39
2025-01-25,29.94,30.6,29.6,30.15,122049.97
2025-01-26,30.16,31.0,29.4,29.44,108246.0
2025-01-27,29.42,29.51,26.35,28.81,383564.06
2025-01-28,28.8,29.03,26.81,27.2,156405.35
2025-01-29,27.21,28.95,27.01,28.08,213178.65
2025-01-30,28.09,30.5,27.94,30.3,227116.11
2025-01-31,30.3,31.17,29.52,29.69,190615.27
2025-02-01,29.69,30.29,26.96,27.11,189478.84
2025-02-02,27.11,27.66,22.67,23.98,479098.67
2025-02-03,23.99,24.74,17.38,24.61,1549874.06
2025-02-04,24.6,24.9,22.02,22.84,502548.36
2025-02-05,22.85,23.08,21.56,21.87,239219.39
2025-02-06,21.87,22.34,20.72,21.04,295152.42
2025-02-07,21.05,22.82,20.65,21.35,270197.63
2025-02-08,21.35,22.04,20.87,21.94,163914.21
2025-02-09,21.93,23.07,21.01,22.32,229940.06
2025-02-10,22.31,23.01,21.4,22.51,209929.65
2025-02-11,22.5,23.85,22.37,22.82,220827.61
2025-02-12,22.81,24.1,21.87,23.82,249014.21
2025-02-13,23.83,24.11,22.71,23.06,166258.52
2025-02-14,23.07,24.11,22.87,23.3,197481.03
2025-02-15,23.28,23.53,22.19,22.51,111402.51
2025-02-16,22.51,22.86,22.23,22.42,107107.88
2025-02-17,22.4,23.33,21.95,22.52,141167.17
2025-02-18,22.52,22.67,20.83,21.56,144573.67
2025-02-19,21.56,22.17,21.23,21.98,108374.09
2025-02-20,21.98,23.26,21.9,23.17,162009.57
2025-02-21,23.18,24.4,22.02,22.39,287092.76
2025-02-22,22.39,23.54,22.28,23.45,114768.6
2025-02-23,23.45,24.63,22.79,23.24,165822.66
2025-02-24,23.25,23.38,20.11,20.37,273444.05
2025-02-25,20.39,22.59,19.13,21.07,743781.85
2025-02-26,21.07,21.72,20.33,21.23,332854.53
2025-02-27,21.24,22.7,20.96,22.19,278873.9
2025-02-28,22.19,22.22,20.11,21.73,383376.93
2025-03-01,21.73,22.05,21.07,21.67,148502.16
2025-03-02,21.67,25.49,21.43,25.49,421127.57
2025-03-03,25.48,25.91,22.42,22.61,571619.16
2025-03-04,22.62,22.73,20.09,21.3,481054.38
2025-03-05,21.29,22.05,20.89,21.63,244290.77
2025-03-06,21.62,22.43,20.38,20.62,254217.34
2025-03-07,20.63,21.07,19.39,20.05,298738.22
2025-03-08,20.05,20.33,19.75,20.03,162978.42
2025-03-09,20.03,20.13,17.98,18.52,275980.34
2025-03-10,18.53,19.33,17.3,17.51,384849.32
2025-03-11,17.51,18.56,16.22,18.2,397516.92
2025-03-12,18.22,18.9,17.58,18.45,223190.25
2025-03-13,18.46,18.49,17.18,17.56,209346.94
2025-03-14,17.55,18.3,17.51,18.02,122789.98
2025-03-15,18.03,18.53,17.88,18.41,79419.62
2025-03-16,18.42,18.45,17.59,17.77,136286.04
2025-03-17,17.74,18.52,17.74,18.36,150362.01
2025-03-18,18.36,18.43,17.4,18.04,163430.36
2025-03-19,18.03,18.73,17.97,18.72,175799.57
2025-03-20,18.72,18.79,17.73,18.12,108557.08
2025-03-21,18.12,18.32,17.64,17.91,86853.62
2025-03-22,17.93,18.48,17.88,18.13,105172.53
2025-03-23,18.13,19.1,18.06,18.47,202591.02
2025-03-24,18.46,19.44,18.23,19.3,229937.26
2025-03-25,19.29,19.99,19.18,19.94,160205.11
2025-03-26,19.94,19.94,18.83,19.03,166136.27
2025-03-27,19.03,19.46,18.58,18.75,114882.86
2025-03-28,18.76,18.76,16.68,17.09,332616.48
2025-03-29,17.08,17.17,15.83,16.18,204583.69
2025-03-30,16.18,16.77,15.94,16.35,117482.68
2025-03-31,16.35,16.42,15.68,16.08,186973.38
2025-04-01,16.09,16.75,15.93,16.51,160531.27
2025-04-02,16.49,16.76,15.05,15.33,250603.34
2025-04-03,15.32,15.86,14.7,15.25,339918.67
2025-04-04,15.27,15.44,14.51,14.66,411262.74
2025-04-05,14.66,14.76,13.72,14.08,421498.51
2025-04-06,14.08,14.22,12.28,12.64,310703.2008
2025-04-07,12.65,13.88,11.77,13.04,487537.58
2025-04-08,13.04,13.47,12.45,12.5,165011.09
2025-04-09,12.5,14.32,12.15,14.21,230501.18
2025-04-10,14.2,14.29,13.37,13.79,138435.11
2025-04-11,13.79,14.56,13.61,14.32,140065.16
2025-04-12,14.32,14.72,13.92,14.53,110511.87
2025-04-13,14.54,14.61,13.71,13.89,113582.06
2025-04-14,13.89,14.64,13.87,14.05,140192.96
2025-04-15,14.06,14.38,13.67,13.71,142533.18
2025-04-16,13.68,13.83,13.15,13.46,181127.39
2025-04-17,13.45,13.91,13.37,13.75,80659.06
2025-04-18,13.75,14.55,13.63,14.17,138952.03
2025-04-19,14.18,14.59,14.07,14.56,109488.46
2025-04-20,14.56,14.92,14.04,14.18,116785.28
2025-04-21,14.18,14.68,13.93,13.97,221206.7
2025-04-22,13.97,15.1,13.71,15.07,291676.78
2025-04-23,15.09,15.77,15.02,15.45,321502.55
2025-04-24,15.46,16.26,14.82,16.24,177577.16
2025-04-25,16.23,20.0,16.23,17.64,1106296.44
2025-04-26,17.63,18.01,17.09,17.68,258409.21
2025-04-27,17.68,17.71,16.81,17.04,164417.06
2025-04-28,17.05,17.73,16.58,17.46,184661.01
2025-04-29,17.47,17.53,16.59,16.79,119517.93
2025-04-30,16.78,17.59,16.39,17.23,156771.73
2025-05-01,17.22,18.17,17.11,17.9,162846.29
2025-05-02,17.91,18.32,17.46,17.68,112059.55
2025-05-03,17.68,17.78,16.23,16.36,110613.29
2025-05-04,16.36,16.36,15.46,15.66,149467.84
2025-05-05,15.66,16.06,15.3,15.5,92074.69
2025-05-06,15.49,15.67,14.55,15.08,109929.42
2025-05-07,15.09,15.48,14.98,15.36,93583.31
2025-05-08,15.36,17.16,15.34,17.05,113473.47
2025-05-09,17.05,21.06,17.04,18.99,958536.82
2025-05-10,19.0,20.24,18.6,20.12,306426.58
2025-05-11,20.13,20.3,19.03,19.4,223724.83
2025-05-12,19.4,20.37,18.54,19.65,312405.52
2025-05-13,19.64,20.76,18.47,20.4,276325.77
2025-05-14,20.4,22.1,19.88,20.17,575017.68
2025-05-15,20.17,20.38,18.83,19.37,658798.91
2025-05-16,19.37,19.62,18.43,18.56,152943.13
2025-05-17,18.56,18.69,17.89,18.08,145932.94
2025-05-18,18.09,19.43,17.89,19.03,178404.76
2025-05-19,19.03,19.11,17.44,18.32,196298.47
2025-05-20,18.32,18.61,17.63,18.35,96504.36
2025-05-21,18.35,19.23,17.99,18.88,181184.81
2025-05-22,18.88,19.79,18.82,19.74,116074.37
2025-05-23,19.75,20.28,17.85,17.89,245906.53
2025-05-24,17.9,18.23,17.68,17.8,73723.19
2025-05-25,17.81,17.96,17.01,17.84,109324.65
2025-05-26,17.85,18.54,17.66,17.94,90021.15
2025-05-27,17.94,18.63,17.51,18.24,119363.81
2025-05-28,18.25,18.94,17.6,18.05,189072.96
2025-05-29,18.05,18.41,17.13,17.21,142218.84
2025-05-30,17.21,17.21,14.75,14.88,302639.4
2025-05-31,14.88,15.72,14.64,15.51,310947.29
2025-06-01,15.5,15.71,15.07,15.62,81054.81
2025-06-02,15.62,15.92,15.18,15.91,108927.44
2025-06-03,15.89,16.2,15.78,15.92,68933.5
2025-06-04,15.92,16.16,15.43,15.54,68930.48
2025-06-05,15.54,15.86,14.27,14.43,173304.15
2025-06-06,14.43,15.33,14.35,14.96,119847.35
2025-06-07,14.96,15.51,14.9,15.42,72821.73
2025-06-08,15.42,15.42,14.99,15.14,66193.05
2025-06-09,15.15,15.81,14.83,15.75,153586.88
2025-06-10,15.75,16.21,15.48,16.18,189110.45
2025-06-11,16.18,16.19,15.26,15.39,123553.11
2025-06-12,15.39,15.39,14.23,14.33,157519.73
2025-06-13,14.33,14.41,13.33,14.07,175004.26
2025-06-14,14.08,14.09,13.67,13.94,73203.17
2025-06-15,13.94,14.06,13.61,13.94,57901.7
2025-06-16,13.95,14.74,13.79,14.19,114285.05
2025-06-17,14.19,14.31,13.21,13.54,134249.83
2025-06-18,13.56,13.86,13.21,13.81,105305.95
2025-06-19,13.8,13.93,13.46,13.65,53803.27
2025-06-20,13.65,14.05,12.94,13.25,106255.09
2025-06-21,13.24,13.56,12.28,12.63,94460.2
2025-06-22,12.64,12.73,11.4,12.04,210909.22
2025-06-23,12.03,13.64,12.0,13.53,172393.82
2025-06-24,13.54,13.93,13.34,13.76,113475.61
2025-06-25,13.76,13.82,13.2,13.26,67398.86
2025-06-26,13.26,13.71,12.93,13.03,97690.49
2025-06-27,13.03,13.23,12.74,13.08,77784.02
2025-06-28,13.08,13.54,13.0,13.48,46805.82
2025-06-29,13.48,14.1,13.32,13.96,64442.81
2025-06-30,13.97,14.23,13.41,13.54,103373.48
2025-07-01,13.54,13.58,12.85,12.93,67327.53
2025-07-02,12.93,14.39,12.9,14.2,139475.0
2025-07-03,14.2,14.23,13.9,14.22,30590.29
