timestamp,open,high,low,close,volume
2025-01-05,4.053,4.225,3.926,4.119,5488491.54
2025-01-06,4.12,4.274,3.983,4.055,6735540.7
2025-01-07,4.054,4.055,3.558,3.567,9384888.46
2025-01-08,3.568,3.653,3.244,3.421,13902936.89
2025-01-09,3.419,3.471,3.139,3.201,7540293.75
2025-01-10,3.201,3.352,3.064,3.118,8034814.41
2025-01-11,3.118,3.196,2.992,3.102,4770559.69
2025-01-12,3.103,3.248,3.059,3.088,4257331.98
2025-01-13,3.088,3.218,2.7,2.979,15888609.99
2025-01-14,2.979,3.156,2.936,3.11,6056657.95
2025-01-15,3.111,3.431,2.964,3.409,7466554.75
2025-01-16,3.408,3.448,3.196,3.262,7506459.06
2025-01-17,3.263,3.531,3.254,3.447,4988009.48
2025-01-18,3.446,3.534,2.807,2.853,13558140.42
2025-01-19,2.852,3.197,2.588,2.701,29427892.03
2025-01-20,2.701,3.097,2.506,2.736,24088371.73
2025-01-21,2.736,2.875,2.592,2.771,8698139.27
2025-01-22,2.77,2.817,2.567,2.593,7182981.28
2025-01-23,2.592,2.771,2.503,2.734,10676894.59
2025-01-24,2.734,3.009,2.581,2.751,14088714.75
2025-01-25,2.75,2.933,2.674,2.806,6377312.55
2025-01-26,2.807,2.871,2.643,2.654,5529735.84
2025-01-27,2.652,2.674,2.338,2.579,17551228.67
2025-01-28,2.579,2.719,2.395,2.421,8470210.62
2025-01-29,2.422,2.798,2.377,2.629,13910185.88
2025-01-30,2.63,2.962,2.596,2.803,11653734.93
2025-01-31,2.803,3.203,2.722,3.004,14283140.75
2025-02-01,3.005,3.076,2.544,2.572,10748780.43
2025-02-02,2.572,2.674,2.055,2.172,23205007.83
2025-02-03,2.173,2.26,1.418,2.186,59452150.52
2025-02-04,2.186,2.192,1.818,1.97,24352232.94
2025-02-05,1.97,1.984,1.822,1.88,14409356.85
2025-02-06,1.879,1.893,1.671,1.689,10374600.46
2025-02-07,1.689,1.909,1.618,1.698,12093428.26
2025-02-08,1.7,1.842,1.663,1.822,7907799.72
2025-02-09,1.821,1.849,1.563,1.664,17445961.4
2025-02-10,1.665,1.786,1.622,1.711,15401706.32
2025-02-11,1.71,1.826,1.621,1.655,14420972.56
2025-02-12,1.655,1.809,1.51,1.744,22261125.65
2025-02-13,1.745,1.759,1.607,1.712,13773181.01
2025-02-14,1.713,1.815,1.673,1.744,15116318.23
2025-02-15,1.745,1.788,1.586,1.615,10974230.47
2025-02-16,1.615,1.715,1.563,1.699,12339196.28
2025-02-17,1.699,1.912,1.679,1.81,27230012.5
2025-02-18,1.81,1.864,1.581,1.677,24414728.34
2025-02-19,1.677,1.753,1.629,1.721,10349648.12
2025-02-20,1.721,2.0,1.717,1.959,21517311.8
2025-02-21,1.958,2.115,1.895,1.97,23023610.98
2025-02-22,1.971,2.103,1.922,1.956,11996524.62
2025-02-23,1.956,2.055,1.857,1.893,11892242.15
2025-02-24,1.892,1.95,1.5,1.536,27931056.55
2025-02-25,1.536,1.665,1.399,1.644,29113776.25
2025-02-26,1.645,1.769,1.588,1.726,20139695.21
2025-02-27,1.726,1.785,1.649,1.709,10213560.58
2025-02-28,1.71,1.726,1.521,1.707,23701708.36
2025-03-01,1.707,1.711,1.568,1.601,6939008.45
2025-03-02,1.6,1.807,1.563,1.786,17679677.67
2025-03-03,1.786,1.792,1.408,1.423,14433207.23
2025-03-04,1.423,1.45,1.26,1.419,18399992.24
2025-03-05,1.419,1.516,1.366,1.482,9181618.03
2025-03-06,1.482,1.506,1.378,1.387,10297197.3
2025-03-07,1.387,1.413,1.282,1.291,14878133.43
2025-03-08,1.291,1.319,1.234,1.308,8029549.17
2025-03-09,1.308,1.31,1.112,1.151,11141909.07
2025-03-10,1.152,1.233,1.057,1.087,14331859.45
2025-03-11,1.088,1.172,0.981,1.125,17567098.08
2025-03-12,1.125,1.179,1.073,1.134,9634818.81
2025-03-13,1.134,1.143,1.009,1.068,11080294.73
2025-03-14,1.068,1.154,1.062,1.132,6397855.64
2025-03-15,1.132,1.204,1.114,1.169,5373302.02
2025-03-16,1.169,1.173,1.081,1.094,6342778.85
2025-03-17,1.094,1.194,1.094,1.168,7408317.8
2025-03-18,1.168,1.171,1.088,1.157,5049891.94
2025-03-19,1.157,1.222,1.126,1.21,11504200.6
2025-03-20,1.21,1.221,1.123,1.156,5531719.94
2025-03-21,1.157,1.181,1.106,1.14,4752205.37
2025-03-22,1.14,1.225,1.129,1.205,6210313.46
2025-03-23,1.206,1.248,1.157,1.186,6175112.89
2025-03-24,1.186,1.232,1.152,1.178,12090001.16
2025-03-25,1.178,1.2,1.126,1.183,10351007.95
2025-03-26,1.183,1.236,1.143,1.152,8148105.0
2025-03-27,1.153,1.208,1.14,1.164,5470794.82
2025-03-28,1.164,1.175,1.005,1.027,11059448.72
2025-03-29,1.027,1.04,0.904,0.945,9649212.12
2025-03-30,0.944,0.963,0.918,0.94,5051420.62
