timestamp,open,high,low,close,volume
2025-01-05,1.574,1.598,1.539,1.585,1405522.462
2025-01-06,1.587,1.637,1.551,1.596,2416496.194
2025-01-07,1.594,1.595,1.413,1.414,4303244.762
2025-01-08,1.414,1.437,1.286,1.368,2868498.876
2025-01-09,1.366,1.395,1.311,1.349,2023056.075
2025-01-10,1.35,1.401,1.333,1.385,1996132.507
2025-01-11,1.385,1.411,1.361,1.384,789858.503
2025-01-12,1.385,1.398,1.348,1.367,716577.6
2025-01-13,1.367,1.401,1.218,1.306,3037010.043
2025-01-14,1.307,1.375,1.294,1.367,1343705.622
2025-01-15,1.367,1.453,1.326,1.453,2202325.217
2025-01-16,1.453,1.458,1.367,1.399,2654155.2
2025-01-17,1.4,1.51,1.4,1.499,2327691.59
2025-01-18,1.501,1.511,1.332,1.368,3048365.239
2025-01-19,1.368,1.424,1.226,1.25,6665472.612
2025-01-20,1.249,1.343,1.173,1.223,7330451.463
2025-01-21,1.222,1.297,1.158,1.268,2943653.763
2025-01-22,1.267,1.289,1.223,1.232,1817796.932
2025-01-23,1.232,1.246,1.184,1.228,2340931.914
2025-01-24,1.23,1.265,1.176,1.185,2117138.525
2025-01-25,1.184,1.231,1.168,1.19,1961512.31
2025-01-26,1.19,1.226,1.168,1.169,1574679.866
2025-01-27,1.169,1.188,1.071,1.165,3553739.504
2025-01-28,1.165,1.178,1.082,1.092,1750196.153
2025-01-29,1.092,1.178,1.086,1.141,1821320.809
2025-01-30,1.141,1.202,1.123,1.189,2006494.826
2025-01-31,1.191,1.275,1.169,1.257,4386246.267
2025-02-01,1.257,1.309,1.121,1.133,4152643.56
2025-02-02,1.133,1.22,0.95,1.004,8257038.989
2025-02-03,1.004,1.004,0.734,0.98,16460063.231
2025-02-04,0.98,0.992,0.84,0.891,4841621.006
2025-02-05,0.89,0.933,0.874,0.886,2382439.318
2025-02-06,0.885,0.902,0.804,0.819,3194808.647
2025-02-07,0.82,0.896,0.812,0.85,2537869.892
2025-02-08,0.85,0.927,0.836,0.897,3548870.471
2025-02-09,0.898,0.93,0.846,0.892,2203083.983
2025-02-10,0.891,0.924,0.854,0.922,2381548.875
2025-02-11,0.921,0.966,0.887,0.904,3012406.169
2025-02-12,0.903,0.994,0.878,0.978,3271245.231
2025-02-13,0.978,1.0,0.949,0.989,3188581.838
2025-02-14,0.989,1.008,0.962,0.981,2698187.342
2025-02-15,0.98,0.992,0.947,0.963,1329857.57
