timestamp,open,high,low,close,volume
2025-01-05,42.63,42.93,40.78,41.89,55410.04
2025-01-06,41.92,43.48,41.06,42.38,87738.49
2025-01-07,42.36,42.64,37.34,37.43,158682.137
2025-01-08,37.42,37.98,35.22,37.5,108015.43
2025-01-09,37.47,38.03,35.62,36.6,90185.69
2025-01-10,36.61,37.89,36.03,37.39,73438.72
2025-01-11,37.37,38.54,36.61,37.85,49701.387
2025-01-12,37.85,38.15,36.38,36.95,31771.563
2025-01-13,36.93,38.0,32.8,35.66,94700.199
2025-01-14,35.65,37.36,35.44,37.08,42671.488
2025-01-15,37.13,39.47,36.01,39.43,80068.422
2025-01-16,39.43,39.65,37.11,37.63,92093.768
2025-01-17,37.66,41.78,37.66,41.42,73671.957
2025-01-18,41.42,41.74,36.95,37.79,77155.224
2025-01-19,37.81,39.07,33.61,34.25,183855.073
2025-01-20,34.25,37.23,32.58,33.79,287079.353
2025-01-21,33.76,35.34,32.2,34.77,98823.607
2025-01-22,34.77,35.14,33.39,33.64,43007.353
2025-01-23,33.61,33.8,32.06,33.09,90243.458
2025-01-24,33.11,33.9,31.78,32.01,57530.919
2025-01-25,32.01,32.69,31.46,32.08,39933.731
2025-01-26,32.09,32.91,31.22,31.28,48159.494
2025-01-27,31.22,31.35,27.87,30.33,107594.621
2025-01-28,30.27,30.74,27.93,28.28,48516.137
2025-01-29,28.26,30.07,28.03,29.07,68772.271
2025-01-30,29.07,31.68,28.7,31.2,49687.732
2025-01-31,31.2,32.17,30.47,30.76,52486.939
2025-02-01,30.83,31.01,27.84,28.05,49006.021
2025-02-02,28.07,28.45,22.13,23.41,182742.844
2025-02-03,23.46,24.55,16.37,24.19,494641.553
2025-02-04,24.18,24.42,21.88,23.16,140451.479
2025-02-05,23.16,23.94,22.53,22.83,96328.506
2025-02-06,22.81,23.16,19.86,20.18,170032.042
2025-02-07,20.2,21.92,19.82,20.47,115412.005
2025-02-08,20.46,21.87,20.07,21.62,88803.332
2025-02-09,21.62,22.7,20.62,21.71,97658.723
2025-02-10,21.7,22.03,20.62,20.92,116805.59
2025-02-11,20.91,21.95,19.8,20.19,220958.097
2025-02-12,20.17,21.78,19.37,21.47,134369.097
2025-02-13,21.49,21.56,20.06,20.99,100750.939
2025-02-14,21.02,21.88,20.22,20.4,115362.943
2025-02-15,20.38,20.64,19.89,20.12,133978.107
2025-02-16,20.11,20.55,19.77,20.06,69435.178
2025-02-17,20.03,20.68,18.87,19.47,140204.809
2025-02-18,19.46,19.56,17.64,18.68,125870.46
2025-02-19,18.69,19.3,18.47,18.9,102902.297
2025-02-20,18.87,19.54,18.79,19.42,62416.459
2025-02-21,19.44,19.83,17.92,18.27,222298.346
2025-02-22,18.29,19.64,18.14,19.49,76839.625
2025-02-23,19.5,19.54,18.55,18.75,68385.675
2025-02-24,18.77,18.89,16.21,16.43,156903.63
2025-02-25,16.42,17.09,14.84,16.86,204530.451
2025-02-26,16.84,17.41,16.14,17.14,158380.195
2025-02-27,17.14,17.61,16.56,17.13,68279.42
2025-02-28,17.13,18.17,15.71,17.86,161636.482
2025-03-01,17.87,17.97,17.05,17.38,59671.353
2025-03-02,17.38,19.93,17.09,19.53,116996.989
2025-03-03,19.56,19.6,15.87,16.37,102353.813
2025-03-04,16.35,16.44,14.6,16.18,152083.261
2025-03-05,16.18,16.62,15.78,16.48,63540.988
2025-03-06,16.5,16.96,15.68,15.98,61426.04
2025-03-07,16.04,16.71,15.18,16.02,87715.3
2025-03-08,16.01,16.12,15.46,15.83,47596.504
2025-03-09,15.83,15.9,13.93,14.13,85615.661
2025-03-10,14.14,15.25,13.17,13.43,127319.171
2025-03-11,13.44,14.5,12.42,14.1,155369.418
2025-03-12,14.11,14.43,13.43,14.16,103589.023
2025-03-13,14.17,14.34,12.96,13.26,146709.298
2025-03-14,13.26,14.42,13.18,13.97,122495.486
2025-03-15,13.98,14.83,13.93,14.48,80649.545
2025-03-16,14.47,14.47,13.62,13.78,89841.7
2025-03-17,13.78,14.64,13.77,14.45,100621.876
2025-03-18,14.44,14.44,13.66,14.22,80559.934
2025-03-19,14.22,14.94,14.15,14.86,101498.635
2025-03-20,14.86,14.91,14.2,14.25,59164.673
2025-03-21,14.25,14.42,13.96,13.99,58708.569
2025-03-22,13.99,14.88,13.98,14.63,68061.253
2025-03-23,14.63,17.52,14.51,14.76,567822.797
2025-03-24,14.77,16.27,14.6,16.09,164834.945
2025-03-25,16.08,16.21,15.37,15.71,104906.753
2025-03-26,15.7,15.97,14.85,15.09,76109.63
2025-03-27,15.09,15.44,14.75,15.0,46295.029
2025-03-28,15.02,15.09,13.76,14.04,81820.178
2025-03-29,14.03,14.15,13.05,13.31,55465.395
2025-03-30,13.3,13.75,13.11,13.39,44303.446
2025-03-31,13.39,13.48,12.24,12.97,63175.423
2025-04-01,12.98,13.8,12.96,13.49,76325.037
2025-04-02,13.47,13.48,11.95,12.16,122645.738
2025-04-03,12.15,12.57,11.49,12.33,99171.012
2025-04-04,12.33,12.69,12.0,12.28,73479.28
2025-04-05,12.28,12.46,12.0,12.2,35408.278
2025-04-06,12.2,12.21,10.62,10.98,123705.608
2025-04-07,10.98,11.58,9.88,11.05,224268.465
2025-04-08,11.06,11.41,10.43,10.56,80581.279
2025-04-09,10.55,12.08,10.11,11.88,119422.252
2025-04-10,11.86,11.88,10.85,11.21,88062.431
2025-04-11,11.21,12.03,11.18,11.8,114054.472
2025-04-12,11.8,12.3,11.67,12.09,80661.009
2025-04-13,12.08,12.09,11.13,11.3,67318.558
2025-04-14,11.3,11.92,10.97,11.06,111539.27
2025-04-15,11.06,11.48,10.96,11.19,106275.913
2025-04-16,11.21,11.35,10.78,11.1,74940.853
2025-04-17,11.11,11.5,10.93,11.36,50547.447
2025-04-18,11.36,11.72,11.27,11.69,51393.018
2025-04-19,11.69,13.03,11.66,12.77,157578.959
2025-04-20,12.78,13.67,12.67,13.13,145033.738
2025-04-21,13.13,14.09,13.1,13.37,127118.077
2025-04-22,13.34,14.21,12.97,14.11,99218.067
2025-04-23,14.12,15.82,14.09,14.8,193638.446
2025-04-24,14.8,14.95,14.29,14.92,66982.277
2025-04-25,14.92,15.87,14.72,15.36,104281.158
2025-04-26,15.35,16.08,15.25,15.82,61182.499
2025-04-27,15.82,15.93,15.07,15.1,56495.469
2025-04-28,15.11,15.73,14.45,15.46,62897.724
2025-04-29,15.48,15.81,14.83,15.01,41127.014
2025-04-30,15.01,16.05,14.83,15.43,70204.089
