timestamp,open,high,low,close,volume
2025-01-05,1.65,1.67,1.627,1.639,260487.83
2025-01-06,1.639,1.687,1.62,1.671,375786.95
2025-01-07,1.671,1.699,1.565,1.565,817373.29
2025-01-08,1.565,1.592,1.471,1.505,727497.75
2025-01-09,1.505,1.545,1.471,1.516,477419.85
2025-01-10,1.514,1.567,1.48,1.521,506144.46
2025-01-11,1.519,1.561,1.498,1.516,429537.55
2025-01-12,1.516,1.534,1.478,1.506,470909.38
2025-01-13,1.505,1.531,1.388,1.461,703103.58
2025-01-14,1.461,1.52,1.45,1.518,350560.66
2025-01-15,1.517,1.567,1.475,1.564,312256.22
2025-01-16,1.565,1.582,1.517,1.54,377250.32
2025-01-17,1.54,1.599,1.538,1.589,423894.94
2025-01-18,1.59,1.593,1.468,1.496,527603.88
2025-01-19,1.496,1.508,1.368,1.378,937600.46
2025-01-20,1.379,1.491,1.346,1.384,987293.41
2025-01-21,1.382,1.434,1.32,1.405,469596.39
2025-01-22,1.405,1.428,1.387,1.393,330361.83
2025-01-23,1.393,1.411,1.343,1.4,478651.11
2025-01-24,1.4,1.405,1.338,1.342,280145.76
2025-01-25,1.342,1.365,1.326,1.342,285981.21
2025-01-26,1.341,1.409,1.322,1.325,447496.21
2025-01-27,1.325,1.332,1.246,1.309,577034.67
2025-01-28,1.309,1.323,1.199,1.199,1222976.54
2025-01-29,1.199,1.26,1.19,1.224,752592.92
2025-01-30,1.225,1.295,1.207,1.258,406281.52
2025-01-31,1.258,1.307,1.254,1.269,384231.59
2025-02-01,1.269,1.308,1.176,1.183,414767.68
2025-02-02,1.184,1.21,1.038,1.074,739692.4
2025-02-03,1.076,1.096,0.857,1.094,1639935.81
2025-02-04,1.094,1.241,1.012,1.093,2509619.63
2025-02-05,1.094,1.119,1.044,1.078,1687262.89
2025-02-06,1.078,1.118,1.03,1.038,1232159.56
2025-02-07,1.038,1.094,1.021,1.051,577252.66
2025-02-08,1.051,1.068,1.028,1.062,941107.54
2025-02-09,1.063,1.097,1.005,1.046,591935.29
2025-02-10,1.046,1.076,1.011,1.052,516457.7
2025-02-11,1.053,1.076,1.029,1.053,539772.65
2025-02-12,1.053,1.089,1.016,1.054,1048564.72
2025-02-13,1.055,1.081,1.033,1.057,815818.44
2025-02-14,1.058,3.859,1.028,2.068,25878363.61
2025-02-15,2.067,2.27,1.646,1.663,16164456.38
2025-02-16,1.663,1.75,1.503,1.59,7070938.23
2025-02-17,1.59,1.85,1.43,1.435,7515648.82
2025-02-18,1.435,1.775,1.387,1.533,9069910.15
2025-02-19,1.533,1.545,1.387,1.397,4751730.3
2025-02-20,1.397,1.45,1.34,1.371,3138637.77
2025-02-21,1.37,1.418,1.301,1.313,2849561.55
2025-02-22,1.313,1.387,1.302,1.337,2217621.11
2025-02-23,1.336,1.788,1.307,1.417,11642453.53
2025-02-24,1.417,1.595,1.269,1.28,11512450.15
2025-02-25,1.28,1.327,1.207,1.3,3342836.27
2025-02-26,1.299,1.382,1.274,1.316,4361963.13
2025-02-27,1.316,1.341,1.265,1.297,1851980.63
2025-02-28,1.298,1.302,1.198,1.26,2074122.89
2025-03-01,1.26,1.346,1.224,1.275,4867043.77
2025-03-02,1.275,1.316,1.238,1.305,3516390.81
2025-03-03,1.304,1.444,1.226,1.24,5472117.58
2025-03-04,1.239,1.242,1.118,1.17,2458062.92
2025-03-05,1.172,1.204,1.159,1.19,1392952.37
2025-03-06,1.189,1.223,1.154,1.173,1981128.49
2025-03-07,1.172,1.253,1.152,1.157,2890649.92
2025-03-08,1.157,1.26,1.152,1.182,2532796.64
2025-03-09,1.184,1.258,1.071,1.083,3214423.5
2025-03-10,1.083,1.122,1.002,1.047,1942234.24
2025-03-11,1.046,1.117,0.996,1.061,2049272.68
2025-03-12,1.062,1.111,1.025,1.068,3169755.52
2025-03-13,1.067,1.072,1.025,1.042,1103547.78
2025-03-14,1.041,1.105,1.035,1.082,1260577.97
2025-03-15,1.081,1.143,1.077,1.117,1383591.39
2025-03-16,1.117,1.36,1.046,1.168,8927222.11
2025-03-17,1.168,1.19,1.097,1.114,3305464.5
2025-03-18,1.114,1.29,1.071,1.122,5249637.9
2025-03-19,1.122,1.136,1.079,1.121,1991938.5
2025-03-20,1.121,1.199,1.108,1.123,2538819.72
2025-03-21,1.123,1.174,1.118,1.125,1810624.18
2025-03-22,1.126,1.151,1.115,1.125,928988.01
2025-03-23,1.125,1.136,1.1,1.104,708350.68
2025-03-24,1.104,1.143,1.099,1.137,703212.5
2025-03-25,1.137,1.146,1.12,1.131,745254.36
2025-03-26,1.13,1.21,1.126,1.136,2264466.32
2025-03-27,1.136,1.149,1.12,1.134,1055141.93
2025-03-28,1.133,1.21,1.1,1.135,5063896.19
2025-03-29,1.135,1.154,1.092,1.098,1507391.34
