timestamp,open,high,low,close,volume
2025-01-05,5.79,5.984,5.622,5.908,5780578.1
2025-01-06,5.907,6.232,5.782,6.016,9177393.0
2025-01-07,6.015,6.026,5.346,5.365,10982703.4
2025-01-08,5.364,5.45,4.865,5.153,13555949.8
2025-01-09,5.154,5.22,4.838,4.978,10277336.9
2025-01-10,4.977,5.151,4.882,5.085,8946117.4
2025-01-11,5.085,5.167,4.988,5.087,4433326.2
2025-01-12,5.087,5.126,4.91,4.973,4003452.3
2025-01-13,4.973,5.095,4.413,4.751,18199407.3
2025-01-14,4.752,5.059,4.702,5.054,8203892.3
2025-01-15,5.054,5.338,4.862,5.317,12699897.3
2025-01-16,5.317,5.36,5.088,5.16,11852177.6
2025-01-17,5.161,5.796,5.161,5.754,12294229.1
2025-01-18,5.755,5.884,5.3,5.445,12168542.8
2025-01-19,5.445,5.654,4.886,4.981,22864412.4
2025-01-20,4.981,5.637,4.756,5.1,30964143.1
2025-01-21,5.1,5.349,4.881,5.251,15168956.6
2025-01-22,5.251,5.299,5.068,5.096,8805483.9
2025-01-23,5.097,5.126,4.857,4.98,13231440.0
2025-01-24,4.981,5.18,4.844,5.003,11210637.7
2025-01-25,5.002,5.027,4.866,4.928,5608693.1
2025-01-26,4.928,5.145,4.748,4.759,7728818.5
2025-01-27,4.758,4.773,4.358,4.639,16685938.8
2025-01-28,4.64,4.683,4.253,4.284,7250173.1
2025-01-29,4.283,4.582,4.265,4.418,9278108.3
2025-01-30,4.419,4.677,4.369,4.603,7477915.1
2025-01-31,4.603,4.847,4.533,4.619,8849664.3
2025-02-01,4.619,4.686,4.224,4.258,7442363.1
2025-02-02,4.258,4.343,3.51,3.75,24154343.8
2025-02-03,3.751,3.797,2.701,3.775,54994450.6
2025-02-04,3.775,3.799,3.275,3.394,20812122.7
2025-02-05,3.394,3.479,3.237,3.279,11024426.7
2025-02-06,3.279,3.384,3.116,3.143,16871742.9
2025-02-07,3.144,3.409,3.108,3.206,10983379.0
2025-02-08,3.206,3.317,3.159,3.286,12148627.6
2025-02-09,3.286,3.476,3.033,3.178,13952407.1
2025-02-10,3.179,3.307,3.065,3.208,16743439.7
2025-02-11,3.208,3.389,3.129,3.202,12931531.6
2025-02-12,3.202,3.471,3.099,3.43,21124116.7
2025-02-13,3.431,3.445,3.252,3.376,10781292.4
2025-02-14,3.377,3.632,3.339,3.551,13087406.9
2025-02-15,3.552,3.609,3.375,3.405,7524714.6
2025-02-16,3.405,3.555,3.36,3.416,8008571.8
2025-02-17,3.416,3.507,3.218,3.259,13533071.2
2025-02-18,3.258,3.313,3.026,3.14,11113792.7
2025-02-19,3.139,3.194,3.059,3.158,8513485.8
2025-02-20,3.158,3.507,3.144,3.467,16272462.9
2025-02-21,3.468,3.634,3.219,3.31,15100783.0
2025-02-22,3.311,3.644,3.294,3.468,12079979.1
2025-02-23,3.469,3.5,3.351,3.433,6395525.0
2025-02-24,3.433,3.461,3.027,3.065,14656133.2
2025-02-25,3.065,3.094,2.753,3.009,26052023.5
2025-02-26,3.009,3.107,2.882,3.023,13035036.2
2025-02-27,3.024,3.179,3.001,3.058,11695670.2
2025-02-28,3.059,3.102,2.766,3.066,19795609.0
2025-03-01,3.067,3.324,3.05,3.272,11690024.2
2025-03-02,3.271,3.563,3.174,3.554,21230700.0
2025-03-03,3.554,3.565,2.916,2.972,23605185.2
2025-03-04,2.973,2.981,2.559,2.811,32591186.3
2025-03-05,2.812,3.048,2.776,2.989,16303167.1
2025-03-06,2.99,3.249,2.953,3.056,16892047.8
2025-03-07,3.055,3.098,2.884,2.942,27725970.0
2025-03-08,2.942,2.974,2.828,2.885,8638683.2
2025-03-09,2.886,2.902,2.495,2.553,13580313.4
2025-03-10,2.554,2.676,2.24,2.285,24749691.6
2025-03-11,2.286,2.565,2.14,2.449,24945681.3
2025-03-12,2.45,2.575,2.347,2.556,16458135.2
2025-03-13,2.556,2.657,2.479,2.572,13184773.0
2025-03-14,2.572,2.715,2.553,2.608,21538337.9
2025-03-15,2.608,2.696,2.602,2.642,7406681.3
2025-03-16,2.643,2.668,2.486,2.516,10074418.1
2025-03-17,2.516,2.685,2.507,2.637,10201123.2
2025-03-18,2.637,2.654,2.503,2.586,8117448.9
2025-03-19,2.585,2.823,2.56,2.791,19158508.7
2025-03-20,2.79,2.814,2.676,2.741,7588148.7
2025-03-21,2.742,2.782,2.684,2.715,5268081.8
2025-03-22,2.715,2.795,2.712,2.732,4215364.7
2025-03-23,2.732,2.796,2.714,2.778,3697250.5
2025-03-24,2.778,3.032,2.759,2.921,11247182.6
2025-03-25,2.922,3.076,2.897,3.026,7612237.4
2025-03-26,3.026,3.074,2.934,2.984,7249113.6
2025-03-27,2.985,3.093,2.938,3.013,7397400.7
2025-03-28,3.013,3.041,2.667,2.734,12064452.9
2025-03-29,2.733,2.772,2.521,2.566,9038715.3
2025-03-30,2.567,2.776,2.546,2.593,9516724.2
2025-03-31,2.594,2.632,2.468,2.509,13149021.6
2025-04-01,2.509,2.699,2.482,2.649,9740987.7
2025-04-02,2.65,2.74,2.404,2.449,15529658.7
2025-04-03,2.45,2.55,2.363,2.509,12259455.3
2025-04-04,2.51,2.573,2.4,2.508,12334383.9
2025-04-05,2.507,2.533,2.403,2.443,4194841.7
2025-04-06,2.443,2.454,2.11,2.162,11697095.9
2025-04-07,2.162,2.26,1.978,2.118,34486508.5
2025-04-08,2.119,2.17,1.876,1.908,21930944.4
2025-04-09,1.908,2.147,1.821,2.102,35529338.7
2025-04-10,2.102,2.106,1.932,2.004,15220642.7
2025-04-11,2.003,2.122,2.0,2.089,11273271.4
2025-04-12,2.089,2.236,2.06,2.212,9627141.3
2025-04-13,2.213,2.247,2.077,2.094,9819656.9
2025-04-14,2.095,2.21,2.076,2.115,16040456.4
2025-04-15,2.116,2.144,2.015,2.039,10866643.2
2025-04-16,2.038,2.062,1.912,1.967,17036810.8
2025-04-17,1.967,2.096,1.958,2.052,10071392.0
2025-04-18,2.052,2.091,2.025,2.056,9013703.9
2025-04-19,2.055,2.199,2.049,2.182,6724401.1
2025-04-20,2.183,2.276,2.143,2.243,6603317.9
2025-04-21,2.244,2.332,2.2,2.217,10896036.2
2025-04-22,2.216,2.427,2.149,2.404,12111883.1
2025-04-23,2.404,2.549,2.391,2.47,13889872.1
2025-04-24,2.47,2.589,2.359,2.544,12377761.6
2025-04-25,2.543,2.649,2.485,2.619,10952969.4
