timestamp,open,high,low,close,volume
2025-01-05,4.931,4.989,4.875,4.948,222272.2
2025-01-06,4.95,5.079,4.901,5.012,422919.5
2025-01-07,5.012,5.255,4.767,4.767,1310391.3
2025-01-08,4.767,4.861,4.481,4.714,686772.8
2025-01-09,4.708,4.803,4.519,4.675,361443.3
2025-01-10,4.677,4.78,4.527,4.661,296146.0
2025-01-11,4.661,4.8,4.58,4.665,283716.9
2025-01-12,4.666,4.792,4.6,4.62,655043.7
2025-01-13,4.618,4.672,4.305,4.546,790411.1
2025-01-14,4.547,4.724,4.514,4.689,426678.8
2025-01-15,4.689,4.841,4.559,4.824,437534.5
2025-01-16,4.826,5.076,4.725,4.875,1175533.8
2025-01-17,4.875,4.948,4.74,4.865,705685.5
2025-01-18,4.867,4.896,4.548,4.602,618862.9
2025-01-19,4.6,4.668,3.968,4.06,958141.4
2025-01-20,4.061,4.305,3.895,3.986,1326498.0
2025-01-21,3.986,4.295,3.863,4.012,714009.0
2025-01-22,4.013,4.27,3.992,4.103,1031757.1
2025-01-23,4.106,4.239,4.008,4.052,1531010.9
2025-01-24,4.05,4.199,3.895,3.926,445593.2
2025-01-25,3.926,4.007,3.884,3.889,299366.0
2025-01-26,3.888,4.05,3.822,3.827,304062.3
2025-01-27,3.824,3.826,3.492,3.763,656942.5
2025-01-28,3.763,5.16,3.732,4.148,5716392.6
2025-01-29,4.147,4.92,4.064,4.184,6055411.8
2025-01-30,4.181,4.358,4.021,4.033,1260621.1
2025-01-31,4.033,4.249,3.987,4.07,833170.2
2025-02-01,4.068,4.579,3.792,3.817,2106194.3
2025-02-02,3.816,3.911,3.522,3.766,1104764.4
2025-02-03,3.768,3.899,3.124,3.713,1676502.2
2025-02-04,3.714,3.746,3.453,3.628,1153435.3
2025-02-05,3.629,3.701,3.446,3.49,752535.4
2025-02-06,3.49,3.654,3.3,3.32,798404.9
2025-02-07,3.322,3.494,3.245,3.342,473489.7
2025-02-08,3.341,3.984,3.285,3.469,1481411.2
2025-02-09,3.47,3.538,3.335,3.478,452853.9
2025-02-10,3.476,3.924,3.443,3.598,1318591.4
2025-02-11,3.599,3.867,3.594,3.691,1180930.6
2025-02-12,3.689,3.984,3.585,3.853,1171140.6
2025-02-13,3.855,3.934,3.704,3.761,697556.0
2025-02-14,3.761,4.4,3.724,4.157,2971794.7
2025-02-15,4.157,4.55,3.911,3.931,2444650.8
2025-02-16,3.929,4.086,3.86,3.913,639129.3
2025-02-17,3.912,3.971,3.68,3.78,532518.1
2025-02-18,3.777,3.833,3.6,3.723,614614.2
2025-02-19,3.724,3.835,3.684,3.731,653218.3
2025-02-20,3.731,3.82,3.717,3.782,319766.4
2025-02-21,3.784,3.829,3.63,3.652,523365.6
2025-02-22,3.652,3.81,3.637,3.771,363880.8
2025-02-23,3.773,3.914,3.705,3.741,738782.1
2025-02-24,3.741,3.791,3.452,3.468,497860.5
2025-02-25,3.474,3.798,3.355,3.706,870647.8
2025-02-26,3.704,3.884,3.552,3.884,512644.7
2025-02-27,3.884,4.133,3.675,3.78,1102436.8
2025-02-28,3.783,3.8,3.52,3.8,627633.1
2025-03-01,3.8,3.805,3.606,3.691,256804.3
2025-03-02,3.69,3.841,3.644,3.839,405337.7
2025-03-03,3.84,3.916,3.592,3.621,724135.5
2025-03-04,3.621,3.648,3.406,3.511,591997.4
2025-03-05,3.511,3.623,3.488,3.605,184802.3
2025-03-06,3.607,3.74,3.535,3.633,528992.6
2025-03-07,3.633,3.727,3.561,3.571,671204.6
2025-03-08,3.569,4.34,3.532,4.022,2279105.1
2025-03-09,4.022,4.999,3.909,4.145,8642258.7
2025-03-10,4.146,4.454,3.945,4.164,2503935.9
2025-03-11,4.165,4.319,4.018,4.059,1050805.7
2025-03-12,4.06,4.271,3.919,4.119,1357429.2
2025-03-13,4.117,4.133,4.0,4.083,601753.8
2025-03-14,4.083,4.251,4.056,4.177,635779.4
2025-03-15,4.177,4.76,4.171,4.305,2190009.0
2025-03-16,4.304,4.816,4.196,4.549,2551385.3
2025-03-17,4.55,4.747,4.262,4.313,1285826.3
2025-03-18,4.315,4.51,4.283,4.42,1059738.6
2025-03-19,4.42,4.55,4.223,4.287,701442.4
2025-03-20,4.289,4.432,4.266,4.346,463644.1
2025-03-21,4.345,4.367,4.036,4.101,525040.9
2025-03-22,4.098,4.182,4.045,4.057,211252.1
2025-03-23,4.058,4.117,4.031,4.076,165411.6
2025-03-24,4.074,4.25,4.068,4.243,313905.3
2025-03-25,4.243,4.247,4.094,4.113,257278.3
2025-03-26,4.116,4.274,4.067,4.123,410937.8
