timestamp,open,high,low,close,volume
2025-01-05,9.37,10.45,9.17,10.3,878334.97
2025-01-06,10.3,10.69,9.63,9.67,992900.17
2025-01-07,9.67,9.92,8.84,8.98,1075541.63
2025-01-08,8.99,9.07,8.1,8.49,554183.36
2025-01-09,8.48,9.21,8.4,8.73,864503.35
2025-01-10,8.74,9.41,8.64,9.28,574726.86
2025-01-11,9.27,9.31,8.81,8.98,214155.81
2025-01-12,8.98,9.12,8.7,8.83,155317.22
2025-01-13,8.83,9.13,7.53,8.37,715003.8
2025-01-14,8.37,8.68,8.26,8.6,293398.7
2025-01-15,8.61,9.2,8.21,9.17,544514.62
2025-01-16,9.18,9.37,8.78,9.09,295872.64
2025-01-17,9.09,10.25,9.07,9.66,850776.32
2025-01-18,9.66,9.78,8.42,8.58,586536.95
2025-01-19,8.58,10.38,8.0,9.02,1934799.69
2025-01-20,9.0,10.6,8.7,9.9,2193244.61
2025-01-21,9.89,10.26,9.17,10.0,1034359.39
2025-01-22,10.0,10.0,9.22,9.29,406334.11
2025-01-23,9.29,9.3,8.54,9.22,472071.82
2025-01-24,9.24,9.58,8.67,8.76,521446.92
2025-01-25,8.75,8.88,8.17,8.39,401434.48
2025-01-26,8.39,8.77,7.4,7.42,466119.23
2025-01-27,7.43,7.75,7.01,7.59,749514.28
2025-01-28,7.59,7.67,6.54,6.65,510139.37
2025-01-29,6.65,7.24,6.59,6.88,497456.72
2025-01-30,6.87,7.39,6.81,7.06,420527.07
2025-01-31,7.07,7.57,6.95,7.17,337596.79
2025-02-01,7.17,7.34,6.54,6.61,373426.57
2025-02-02,6.6,6.74,5.4,5.69,957984.09
2025-02-03,5.69,5.87,4.13,5.74,1525613.5
2025-02-04,5.73,5.79,5.01,5.34,1027126.04
2025-02-05,5.34,5.48,5.08,5.15,447600.06
2025-02-06,5.14,5.24,4.6,4.66,749034.56
2025-02-07,4.66,5.09,4.31,4.51,610451.68
2025-02-08,4.51,4.87,4.41,4.79,419525.42
2025-02-09,4.79,5.16,4.58,4.85,707357.67
2025-02-10,4.85,5.09,4.64,5.0,578322.53
2025-02-11,5.0,5.36,4.87,4.99,401999.18
2025-02-12,4.98,5.36,4.73,5.26,695280.77
2025-02-13,5.26,5.34,4.92,5.09,438840.15
2025-02-14,5.09,5.35,5.02,5.23,353219.94
2025-02-15,5.22,5.23,4.9,5.0,270632.42
2025-02-16,5.0,5.23,4.92,5.02,290175.3
2025-02-17,5.01,5.27,4.86,5.02,370230.01
2025-02-18,5.02,5.04,4.54,4.72,450749.65
2025-02-19,4.72,4.91,4.65,4.83,280587.19
2025-02-20,4.83,5.25,4.82,5.17,362522.66
2025-02-21,5.18,5.45,4.76,4.84,550888.07
2025-02-22,4.84,5.89,4.8,5.19,1024531.68
2025-02-23,5.19,5.25,5.04,5.12,421804.03
2025-02-24,5.12,5.17,4.25,4.36,634726.18
2025-02-25,4.37,4.57,4.03,4.47,789212.98
2025-02-26,4.48,4.64,4.22,4.56,520636.83
2025-02-27,4.56,4.73,4.35,4.49,514462.4
2025-02-28,4.48,4.55,4.09,4.49,438335.56
2025-03-01,4.5,4.52,4.2,4.34,247630.17
2025-03-02,4.34,4.92,4.23,4.8,665116.55
2025-03-03,4.8,4.86,4.13,4.23,1604242.61
2025-03-04,4.23,4.26,3.76,4.1,752296.69
2025-03-05,4.1,4.3,4.04,4.18,380075.27
2025-03-06,4.18,4.24,3.89,3.95,450207.69
2025-03-07,3.96,4.04,3.7,3.81,470858.15
2025-03-08,3.8,3.82,3.6,3.72,322643.97
2025-03-09,3.71,3.73,3.09,3.17,676942.51
2025-03-10,3.18,3.44,2.91,2.99,802973.4
2025-03-11,3.0,3.24,2.73,3.16,771812.12
2025-03-12,3.17,3.31,3.04,3.24,529198.17
2025-03-13,3.25,3.29,3.06,3.15,571954.45
2025-03-14,3.15,3.28,3.1,3.21,475697.73
2025-03-15,3.21,3.31,3.17,3.27,334165.27
2025-03-16,3.27,3.33,3.09,3.12,632083.64
2025-03-17,3.13,3.33,3.12,3.27,484767.85
2025-03-18,3.27,3.39,3.14,3.31,532291.47
2025-03-19,3.31,3.45,3.28,3.44,568793.26
2025-03-20,3.44,3.44,3.29,3.32,564363.22
2025-03-21,3.31,3.36,3.18,3.27,337618.13
2025-03-22,3.27,3.54,3.26,3.38,384105.98
2025-03-23,3.39,3.99,3.35,3.59,2461276.98
2025-03-24,3.59,3.64,3.5,3.57,792970.37
2025-03-25,3.57,3.61,3.41,3.58,493648.91
2025-03-26,3.57,3.59,3.33,3.38,538617.16
2025-03-27,3.38,3.46,3.24,3.31,488656.97
2025-03-28,3.31,3.35,2.9,3.0,604998.56
2025-03-29,3.0,3.04,2.7,2.75,526193.3
2025-03-30,2.74,2.82,2.66,2.7,459656.09
2025-03-31,2.7,2.73,2.59,2.64,468571.84
2025-04-01,2.64,2.76,2.53,2.55,676491.35
2025-04-02,2.55,2.56,2.25,2.29,1061064.26
2025-04-03,2.3,2.41,2.12,2.18,1113605.78
2025-04-04,2.18,2.31,2.12,2.22,1201434.99
2025-04-05,2.23,2.26,2.13,2.17,656876.14
2025-04-06,2.17,2.22,1.86,1.93,1264115.16
2025-04-07,1.93,2.08,1.75,1.96,1771686.86
2025-04-08,1.97,2.03,1.81,1.84,1104935.73
2025-04-09,1.84,2.08,1.75,2.05,729511.48
2025-04-10,2.05,2.06,1.85,1.94,531175.96
2025-04-11,1.94,2.03,1.92,1.97,299548.66
2025-04-12,1.97,2.07,1.95,2.03,372062.86
2025-04-13,2.03,2.04,1.8,1.83,646967.97
2025-04-14,1.83,1.92,1.8,1.82,577742.23
2025-04-15,1.81,1.9,1.77,1.79,498543.72
2025-04-16,1.79,1.82,1.7,1.77,732481.04
2025-04-17,1.77,1.85,1.75,1.8,355231.23
2025-04-18,1.81,1.93,1.79,1.89,487684.88
2025-04-19,1.89,2.06,1.88,2.03,466455.19
2025-04-20,2.02,2.22,2.02,2.09,1162281.96
2025-04-21,2.1,2.43,2.08,2.18,1366566.52
2025-04-22,2.18,2.4,2.15,2.39,713025.62
2025-04-23,2.39,2.52,2.36,2.43,852693.81
2025-04-24,2.43,2.46,2.3,2.45,501767.96
2025-04-25,2.45,2.6,2.41,2.55,513713.17
2025-04-26,2.56,2.78,2.55,2.74,564355.34
2025-04-27,2.75,2.76,2.48,2.53,427311.88
2025-04-28,2.53,2.65,2.4,2.55,887406.27
2025-04-29,2.55,2.61,2.44,2.48,446435.3
2025-04-30,2.48,2.73,2.44,2.52,960963.8
2025-05-01,2.52,2.6,2.48,2.5,328877.34
2025-05-02,2.51,2.54,2.19,2.32,935470.54
2025-05-03,2.33,2.36,2.13,2.24,475364.43
2025-05-04,2.24,2.27,2.05,2.1,754592.56
2025-05-05,2.09,2.14,2.03,2.07,509717.0
2025-05-06,2.06,2.11,1.95,2.06,496014.81
2025-05-07,2.05,2.2,2.04,2.1,671940.84
2025-05-08,2.1,2.49,2.09,2.49,781068.88
2025-05-09,2.48,2.75,2.47,2.74,1445561.63
2025-05-10,2.74,3.23,2.74,3.16,1723426.45
