timestamp,open,high,low,close,volume
2025-01-05,2.453,2.505,2.398,2.466,692538.2
2025-01-06,2.466,2.527,2.412,2.466,795162.2
2025-01-07,2.464,2.465,2.187,2.187,939153.3
2025-01-08,2.187,2.207,1.997,2.115,1631772.8
2025-01-09,2.115,2.141,1.97,2.022,636784.2
2025-01-10,2.022,2.133,2.01,2.109,607732.9
2025-01-11,2.106,2.12,2.052,2.078,385653.9
2025-01-12,2.079,2.112,2.036,2.087,310859.3
2025-01-13,2.087,2.121,1.813,1.958,1115723.3
2025-01-14,1.963,2.061,1.942,2.052,743840.2
2025-01-15,2.053,2.144,1.978,2.133,1020118.4
2025-01-16,2.134,2.158,2.058,2.106,824642.7
2025-01-17,2.106,2.236,2.101,2.191,996249.8
2025-01-18,2.194,2.204,1.995,2.053,1179841.6
2025-01-19,2.05,2.098,1.837,1.871,1667469.7
2025-01-20,1.868,2.005,1.801,1.862,1468649.7
2025-01-21,1.863,1.949,1.798,1.92,991139.5
2025-01-22,1.919,1.96,1.85,1.857,762690.9
2025-01-23,1.856,1.906,1.795,1.882,687810.3
2025-01-24,1.882,1.915,1.799,1.811,633484.9
2025-01-25,1.809,1.837,1.749,1.817,517986.1
2025-01-26,1.816,1.912,1.813,1.826,639499.5
2025-01-27,1.826,1.842,1.656,1.75,1778037.5
2025-01-28,1.748,1.764,1.554,1.562,967975.4
2025-01-29,1.561,1.674,1.549,1.58,948812.6
2025-01-30,1.579,1.761,1.563,1.614,1271934.7
2025-01-31,1.615,1.789,1.571,1.62,2433636.1
2025-02-01,1.62,1.897,1.581,1.773,7340273.5
2025-02-02,1.771,1.895,1.337,1.406,7655689.8
2025-02-03,1.407,1.501,1.051,1.486,4566035.1
2025-02-04,1.488,1.497,1.27,1.313,1445881.2
2025-02-05,1.312,1.344,1.252,1.277,898367.2
2025-02-06,1.276,1.292,1.159,1.182,984764.6
2025-02-07,1.181,1.309,1.164,1.203,1006354.6
2025-02-08,1.2,1.36,1.191,1.301,828610.5
2025-02-09,1.3,1.49,1.272,1.336,3900904.8
2025-02-10,1.336,1.381,1.273,1.326,1524223.1
2025-02-11,1.326,1.407,1.287,1.309,847858.3
2025-02-12,1.309,1.392,1.242,1.375,1358235.0
2025-02-13,1.376,1.408,1.299,1.33,896532.2
2025-02-14,1.329,1.389,1.301,1.343,669983.5
2025-02-15,1.342,1.351,1.257,1.276,487120.2
2025-02-16,1.276,1.359,1.268,1.306,1298873.1
