timestamp,open,high,low,close,volume
2025-01-05,12.44,12.46,12.07,12.4,80149.74
2025-01-06,12.41,12.91,12.15,12.34,140553.22
2025-01-07,12.33,12.41,11.05,11.07,167742.49
2025-01-08,11.07,11.18,10.13,10.77,173597.96
2025-01-09,10.77,10.9,10.1,10.39,168232.53
2025-01-10,10.4,10.84,10.23,10.59,130043.64
2025-01-11,10.58,10.68,10.34,10.42,84804.4
2025-01-12,10.43,10.57,10.18,10.29,73267.8
2025-01-13,10.29,10.62,9.33,10.02,258031.06
2025-01-14,10.03,10.31,9.92,10.27,151833.96
2025-01-15,10.26,10.87,9.88,10.86,242872.65
2025-01-16,10.87,10.88,10.32,10.54,146273.85
2025-01-17,10.56,11.27,10.53,11.18,183248.68
2025-01-18,11.19,11.27,10.07,10.36,222526.49
2025-01-19,10.35,10.65,9.2,9.35,386879.09
2025-01-20,9.35,10.22,8.91,9.31,386724.38
2025-01-21,9.3,9.77,8.83,9.54,202986.56
2025-01-22,9.54,9.63,9.14,9.19,137915.92
2025-01-23,9.19,9.25,8.71,9.13,187232.41
2025-01-24,9.13,9.53,8.81,8.95,175893.36
2025-01-25,8.94,9.07,8.75,8.96,87550.74
2025-01-26,8.96,9.28,8.78,8.79,131571.54
2025-01-27,8.77,8.82,7.94,8.58,207943.53
2025-01-28,8.58,8.78,7.63,7.71,233898.07
2025-01-29,7.7,8.25,7.64,7.97,158237.44
2025-01-30,7.96,8.53,7.87,8.4,100201.36
2025-01-31,8.41,8.91,8.23,8.44,162167.48
2025-02-01,8.44,8.62,7.61,7.67,149918.08
2025-02-02,7.66,7.82,6.27,6.73,283967.89
2025-02-03,6.72,6.73,5.07,6.63,606443.58
2025-02-04,6.64,6.7,6.03,6.3,323033.62
2025-02-05,6.3,6.47,6.01,6.11,256531.45
2025-02-06,6.11,6.31,5.7,5.77,265092.38
2025-02-07,5.77,6.22,5.51,5.71,258191.83
2025-02-08,5.71,6.19,5.6,6.12,204050.99
2025-02-09,6.12,9.0,6.08,8.05,4623623.17
2025-02-10,8.06,8.43,7.38,8.39,1019974.02
2025-02-11,8.39,12.1,8.28,9.16,4320779.12
2025-02-12,9.16,9.73,8.39,9.23,1731044.44
2025-02-13,9.24,9.42,7.93,8.31,871902.83
2025-02-14,8.31,8.6,7.92,8.12,527267.11
2025-02-15,8.12,8.21,7.69,7.75,324638.23
2025-02-16,7.75,7.98,7.66,7.78,320237.75
2025-02-17,7.78,8.42,7.58,7.83,426776.01
2025-02-18,7.82,7.86,6.98,7.3,380423.57
2025-02-19,7.3,7.47,7.12,7.31,236803.37
2025-02-20,7.3,7.59,7.29,7.51,328198.36
2025-02-21,7.51,7.64,6.78,6.87,395852.29
2025-02-22,6.87,7.28,6.76,7.24,186549.95
2025-02-23,7.24,7.29,6.9,7.08,217207.09
2025-02-24,7.08,7.11,6.24,6.36,255534.84
2025-02-25,6.36,6.58,5.94,6.43,304628.68
2025-02-26,6.44,6.62,6.21,6.54,282087.65
2025-02-27,6.55,6.69,6.21,6.48,225321.67
2025-02-28,6.47,6.6,6.05,6.56,288384.64
2025-03-01,6.55,6.59,6.12,6.3,194782.68
2025-03-02,6.29,6.86,6.19,6.77,339810.18
2025-03-03,6.77,6.8,5.58,5.67,408328.95
2025-03-04,5.68,5.99,5.23,5.92,355101.21
2025-03-05,5.92,6.1,5.79,6.07,230630.61
2025-03-06,6.08,6.18,5.87,5.95,201012.05
2025-03-07,5.95,6.03,5.6,5.76,281495.14
2025-03-08,5.76,5.82,5.55,5.65,176413.54
2025-03-09,5.65,5.68,5.04,5.1,259129.65
2025-03-10,5.1,5.41,4.65,4.89,415697.09
2025-03-11,4.9,5.64,4.5,5.05,783124.38
2025-03-12,5.06,5.41,4.94,5.28,327549.02
