timestamp,open,high,low,close,volume
2025-01-05,10.14,10.18,9.95,10.07,129530.27
2025-01-06,10.08,10.26,9.88,10.01,186501.06
2025-01-07,10.02,10.09,9.02,9.04,219985.44
2025-01-08,9.04,9.15,8.3,8.71,212425.0
2025-01-09,8.7,9.53,8.24,9.37,682553.92
2025-01-10,9.37,9.41,8.43,8.94,685948.9
2025-01-11,8.94,8.99,8.61,8.82,187379.33
2025-01-12,8.83,9.53,8.71,9.38,589623.96
2025-01-13,9.38,9.47,7.77,8.77,1526059.9
2025-01-14,8.78,9.23,8.66,9.2,266233.69
2025-01-15,9.2,9.58,8.85,9.58,225996.78
2025-01-16,9.58,9.96,9.36,9.73,500529.52
2025-01-17,9.73,10.21,9.67,9.7,687033.75
2025-01-18,9.71,9.8,9.01,9.27,250568.76
2025-01-19,9.27,9.59,8.51,8.73,887404.97
2025-01-20,8.73,9.44,8.51,8.7,850898.58
2025-01-21,8.7,9.13,8.37,8.83,209039.23
2025-01-22,8.83,9.04,8.06,8.09,607302.97
2025-01-23,8.1,8.13,7.55,7.9,504977.29
2025-01-24,7.9,8.09,7.67,7.75,208221.13
2025-01-25,7.75,7.93,7.64,7.73,259799.79
2025-01-26,7.74,8.07,7.63,7.66,552504.37
2025-01-27,7.65,7.72,6.83,7.34,639231.03
2025-01-28,7.33,7.53,7.09,7.14,501781.47
2025-01-29,7.14,7.56,7.12,7.37,234354.16
2025-01-30,7.38,7.69,7.27,7.49,220641.87
2025-01-31,7.5,7.8,7.45,7.5,179413.08
2025-02-01,7.51,7.63,6.68,6.76,337945.01
2025-02-02,6.76,7.02,5.6,5.91,521487.28
2025-02-03,5.91,5.91,4.24,5.6,1241760.28
2025-02-04,5.59,5.65,5.01,5.32,346495.0
2025-02-05,5.31,5.47,5.17,5.28,277941.24
2025-02-06,5.28,5.38,4.94,5.02,316432.87
2025-02-07,5.01,5.27,4.79,4.95,651377.88
2025-02-08,4.95,5.63,4.85,5.33,586253.91
2025-02-09,5.34,6.2,5.27,5.69,1393266.36
2025-02-10,5.69,6.01,5.35,6.01,719079.24
2025-02-11,5.99,6.99,5.98,6.32,1536287.82
2025-02-12,6.31,9.08,6.06,8.32,2206098.72
2025-02-13,8.32,9.33,7.65,8.16,2206955.26
2025-02-14,8.16,8.36,7.67,7.89,820543.37
2025-02-15,7.88,10.09,7.78,8.12,2462919.73
2025-02-16,8.12,9.22,7.96,8.93,1082585.62
2025-02-17,8.93,9.14,8.35,8.46,1174549.21
2025-02-18,8.46,8.65,8.03,8.37,1206032.37
2025-02-19,8.38,9.0,8.29,8.83,717506.47
2025-02-20,8.83,8.96,8.32,8.84,492850.78
2025-02-21,8.85,9.6,8.44,8.47,1006650.41
2025-02-22,8.48,8.7,7.98,8.56,1068229.09
2025-02-23,8.56,8.58,8.14,8.44,741461.13
2025-02-24,8.44,8.55,7.42,7.57,633987.8
2025-02-25,7.58,8.05,7.07,7.94,686580.55
2025-02-26,7.94,8.16,7.43,7.71,378136.93
2025-02-27,7.71,7.89,7.42,7.71,267359.72
2025-02-28,7.71,7.73,6.98,7.46,695123.87
2025-03-01,7.46,7.55,6.75,7.09,868750.69
2025-03-02,7.09,8.07,6.95,7.61,660579.79
2025-03-03,7.61,7.63,6.26,6.27,1820455.85
2025-03-04,6.27,6.37,5.75,6.22,598406.94
2025-03-05,6.22,6.46,6.15,6.41,216243.85
2025-03-06,6.41,6.53,6.07,6.17,208935.44
2025-03-07,6.18,6.39,5.87,6.17,245647.68
2025-03-08,6.16,6.24,5.66,5.85,605533.82
2025-03-09,5.84,5.89,5.35,5.43,372334.33
2025-03-10,5.44,5.79,4.89,5.06,628197.35
2025-03-11,5.07,5.51,4.81,5.37,594608.53
2025-03-12,5.38,5.52,5.15,5.44,420986.01
2025-03-13,5.45,5.56,5.19,5.34,368730.83
