symbol,timeframe,direction,confidence,ai_score,ta_strength,signal_strength,whale_score,social_score,news_score,whale_direction_score,breakout_probability,entry_price,current_price,take_profit,stop_loss,support_level,resistance_level,target_time_hours,predicted_breakout_threshold,predicted_breakout_time_hours,timestamp,status,success_metrics,confidence_level,volume_score,pattern_score,momentum_score,order_book_imbalance,top_bid_walls,top_ask_walls,market_regime,regime_note
BTC/USDT,1h,LONG,0.622289638697087,0,0,0,Veri Yok,0.0,0.0,0.0,0,117148.48,117148.48,118324.60642857142,116756.43785714285,116172.65566785714,118916.22946071427,24.0,0.025,30.6,2025-07-15 14:59:27.251111,ACTIVE,"{'breakout_probability': 0.4, 'predicted_breakout_time': 30.6, 'risk_reward_ratio': 1.67, 'volatility_score': 0.3, 'trend_strength': 0.5333333333333333, 'signal_quality': 0.5, 'market_regime': 'SIDEWAYS', 'predicted_profit_target': 0.05, 'predicted_breakout_threshold': 0.025}",0.5,0.2,0.5,0.5,0.5887507155384423,"[{""price"": 117148.47, ""amount"": 6.87472}, {""price"": 117127.48, ""amount"": 1.77035}, {""price"": 117134.23, ""amount"": 1.10992}]","[{""price"": 117167.94, ""amount"": 0.85631}, {""price"": 117160.19, ""amount"": 0.5402}, {""price"": 117165.99, ""amount"": 0.42823}]",unknown,
BNB/USDT,1h,LONG,0.503633492734349,0,0,0,Veri Yok,0.0,0.0,0.0,0,680.66,680.66,686.8742857142857,678.5885714285714,675.1956285714285,690.3086571428571,24.0,0.025,30.6,2025-07-15 14:59:46.827691,ACTIVE,"{'breakout_probability': 0.4, 'predicted_breakout_time': 30.6, 'risk_reward_ratio': 1.67, 'volatility_score': 0.3, 'trend_strength': 0.5333333333333333, 'signal_quality': 0.5, 'market_regime': 'SIDEWAYS', 'predicted_profit_target': 0.05, 'predicted_breakout_threshold': 0.025}",0.5,0.2,0.5,0.5,0.07685264550197629,"[{""price"": 679.64, ""amount"": 108.459}, {""price"": 679.57, ""amount"": 87.021}, {""price"": 679.58, ""amount"": 39.269}]","[{""price"": 681.0, ""amount"": 66.741}, {""price"": 680.56, ""amount"": 37.687}, {""price"": 681.24, ""amount"": 32.665}]",unknown,
ADA/USDT,1h,LONG,0.37455991269921185,0,0,0,Veri Yok,0.0,0.0,0.0,0,0.7272,0.7272,0.7431642857142857,0.7218785714285714,0.7182691785714285,0.746880107142857,24.0,0.025,30.6,2025-07-15 15:00:06.906554,ACTIVE,"{'breakout_probability': 0.4, 'predicted_breakout_time': 30.6, 'risk_reward_ratio': 1.67, 'volatility_score': 0.3, 'trend_strength': 0.5333333333333333, 'signal_quality': 0.5, 'market_regime': 'SIDEWAYS', 'predicted_profit_target': 0.05, 'predicted_breakout_threshold': 0.025}",0.5,0.2,0.5,0.5,0.1013109778118176,"[{""price"": 0.7238, ""amount"": 156110.4}, {""price"": 0.7243, ""amount"": 149539.7}, {""price"": 0.7197, ""amount"": 121804.0}]","[{""price"": 0.7318, ""amount"": 143705.0}, {""price"": 0.7297, ""amount"": 122309.0}, {""price"": 0.7291, ""amount"": 108395.8}]",unknown,
BCH/USDT,1h,LONG,0.5017179255303125,0,0,0,Veri Yok,0.0,0.0,0.9999999999918778,0,489.2,489.2,495.2857142857142,487.1714285714285,484.7355714285714,497.76214285714275,24.0,0.025,30.6,2025-07-15 15:00:28.690244,ACTIVE,"{'breakout_probability': 0.4, 'predicted_breakout_time': 30.6, 'risk_reward_ratio': 1.67, 'volatility_score': 0.3, 'trend_strength': 0.5333333333333333, 'signal_quality': 0.5, 'market_regime': 'SIDEWAYS', 'predicted_profit_target': 0.05, 'predicted_breakout_threshold': 0.025}",0.5,0.2,0.5,0.5,0.3426126293799502,"[{""price"": 481.8, ""amount"": 255.539}, {""price"": 480.0, ""amount"": 151.685}, {""price"": 483.0, ""amount"": 149.533}]","[{""price"": 494.1, ""amount"": 140.785}, {""price"": 493.2, ""amount"": 112.024}, {""price"": 493.3, ""amount"": 84.615}]",unknown,
BAT/USDT,1h,LONG,0.36868959504310916,0,0,0,Veri Yok,0.0,0.0,-0.09276296579503163,0,0.149,0.149,0.15202142857142856,0.14799285714285715,0.14725289285714285,0.15278153571428568,24.0,0.025,30.6,2025-07-15 15:00:50.484262,ACTIVE,"{'breakout_probability': 0.4, 'predicted_breakout_time': 30.6, 'risk_reward_ratio': 1.67, 'volatility_score': 0.3, 'trend_strength': 0.5333333333333333, 'signal_quality': 0.5, 'market_regime': 'SIDEWAYS', 'predicted_profit_target': 0.05, 'predicted_breakout_threshold': 0.025}",0.5,0.2,0.5,0.5,0.05576845516788682,"[{""price"": 0.142, ""amount"": 64448.0}, {""price"": 0.1487, ""amount"": 38911.0}, {""price"": 0.1486, ""amount"": 34304.0}]","[{""price"": 0.1613, ""amount"": 68339.0}, {""price"": 0.1628, ""amount"": 51106.0}, {""price"": 0.1499, ""amount"": 19523.0}]",unknown,
CELR/USDT,1h,LONG,0.36871379617348454,0,0,0,Veri Yok,0.0,0.0,-0.3834286259605014,0,0.00819,0.00819,0.00838392857142857,0.008125357142857143,0.008084730357142857,0.008425848214285712,24.0,0.025,30.6,2025-07-15 15:01:12.509996,ACTIVE,"{'breakout_probability': 0.4, 'predicted_breakout_time': 30.6, 'risk_reward_ratio': 1.67, 'volatility_score': 0.3, 'trend_strength': 0.5333333333333333, 'signal_quality': 0.5, 'market_regime': 'SIDEWAYS', 'predicted_profit_target': 0.05, 'predicted_breakout_threshold': 0.025}",0.5,0.2,0.5,0.5,-0.1821206683757084,"[{""price"": 0.0072, ""amount"": 1902083.0}, {""price"": 0.00711, ""amount"": 1594812.1}, {""price"": 0.00753, ""amount"": 1328021.2}]","[{""price"": 0.0089, ""amount"": 2572146.3}, {""price"": 0.00864, ""amount"": 1745610.0}, {""price"": 0.00846, ""amount"": 1352099.2}]",unknown,
ATOM/USDT,1h,LONG,0.3710748537973769,0,0,0,Veri Yok,0.0,0.0,0.0,0,4.517,4.517,4.588035714285715,4.493321428571429,4.4708548214285715,4.610975892857143,24.0,0.025,30.6,2025-07-15 15:01:33.487246,ACTIVE,"{'breakout_probability': 0.4, 'predicted_breakout_time': 30.6, 'risk_reward_ratio': 1.67, 'volatility_score': 0.3, 'trend_strength': 0.5333333333333333, 'signal_quality': 0.5, 'market_regime': 'SIDEWAYS', 'predicted_profit_target': 0.05, 'predicted_breakout_threshold': 0.025}",0.5,0.2,0.5,0.5,0.1331517235013717,"[{""price"": 4.508, ""amount"": 4202.08}, {""price"": 4.485, ""amount"": 3961.88}, {""price"": 4.48, ""amount"": 3273.93}]","[{""price"": 4.521, ""amount"": 6639.7}, {""price"": 4.538, ""amount"": 3505.55}, {""price"": 4.522, ""amount"": 3329.38}]",unknown,
ALGO/USDT,1h,LONG,0.3688797621083785,0,0,0,Veri Yok,0.0,0.0,0.0,0,0.2867,0.2867,0.2938675,0.28272857142857144,0.2813149285714286,0.29533683749999995,24.0,0.025,30.6,2025-07-15 15:01:54.098425,ACTIVE,"{'breakout_probability': 0.4, 'predicted_breakout_time': 30.6, 'risk_reward_ratio': 1.67, 'volatility_score': 0.3, 'trend_strength': 0.5333333333333333, 'signal_quality': 0.5, 'market_regime': 'SIDEWAYS', 'predicted_profit_target': 0.05, 'predicted_breakout_threshold': 0.025}",0.5,0.2,0.5,0.5,0.11547871607330373,"[{""price"": 0.2834, ""amount"": 85982.0}, {""price"": 0.2835, ""amount"": 81239.0}, {""price"": 0.2837, ""amount"": 76046.0}]","[{""price"": 0.2867, ""amount"": 82607.0}, {""price"": 0.2873, ""amount"": 72552.0}, {""price"": 0.2869, ""amount"": 67903.0}]",unknown,
ANKR/USDT,1h,LONG,0.36873935853766115,0,0,0,Veri Yok,0.0,0.0,-0.627130143279384,0,0.01646,0.01646,0.016754642857142857,0.016361785714285714,0.016279976785714287,0.01683841607142857,24.0,0.025,30.6,2025-07-15 15:02:13.103179,ACTIVE,"{'breakout_probability': 0.4, 'predicted_breakout_time': 30.6, 'risk_reward_ratio': 1.67, 'volatility_score': 0.3, 'trend_strength': 0.5333333333333333, 'signal_quality': 0.5, 'market_regime': 'SIDEWAYS', 'predicted_profit_target': 0.05, 'predicted_breakout_threshold': 0.025}",0.5,0.2,0.5,0.5,-0.05875971982256783,"[{""price"": 0.0152, ""amount"": 739780.9}, {""price"": 0.0153, ""amount"": 364834.5}, {""price"": 0.0146, ""amount"": 342465.7}]","[{""price"": 0.01761, ""amount"": 2786457.1}, {""price"": 0.0179, ""amount"": 285326.4}, {""price"": 0.01677, ""amount"": 243336.7}]",unknown,
COS/USDT,1h,LONG,0.3687883712309977,0,0,0,Veri Yok,0.0,0.0,-0.28819705146241936,0,0.003318,0.003318,0.0033705000000000007,0.0033005,0.0032839975,0.0033873525000000003,24.0,0.025,30.6,2025-07-15 15:02:30.716236,ACTIVE,"{'breakout_probability': 0.4, 'predicted_breakout_time': 30.6, 'risk_reward_ratio': 1.67, 'volatility_score': 0.3, 'trend_strength': 0.5333333333333333, 'signal_quality': 0.5, 'market_regime': 'SIDEWAYS', 'predicted_profit_target': 0.05, 'predicted_breakout_threshold': 0.025}",0.5,0.2,0.5,0.5,-0.087249887104718,"[{""price"": 0.00314, ""amount"": 3184713.3}, {""price"": 0.003268, ""amount"": 2336736.1}, {""price"": 0.003296, ""amount"": 979256.6}]","[{""price"": 0.003428, ""amount"": 2959494.1}, {""price"": 0.003366, ""amount"": 2514929.8}, {""price"": 0.003434, ""amount"": 2196148.8}]",unknown,
